date,INF204K01HY3,ICICI Prudential Large & Mid Cap Growth Direct Plan,Tata Small Cap Growth Direct Plan,Edelweiss Aggressive Hybrid Growth Direct Plan,HDFC Short Term Debt Growth Direct Plan,UTI Short Duration Growth Direct Plan,DSP Aggressive Hybrid Growth Direct Plan,Parag Parikh Flexi Cap Growth Direct Plan,Nippon India Vision Large & Mid Cap Growth Direct Plan,Bandhan Large & Mid Cap Growth Direct Plan,SBI Midcap Growth Direct Plan,Nippon India Equity Hybrid Growth Direct Plan,Aditya Birla Sun Life Corporate Bond Growth Direct Plan,Franklin India Flexi Cap Growth Direct Plan,Mirae Asset Short Duration Growth Direct Plan,HDFC Large Cap Growth Direct Plan,SBI Large & Midcap Growth Direct Plan,Motilal Oswal Nifty Midcap 150 Index Growth Direct Plan,INF761K01DP9,Franklin India Large Cap Growth Direct Plan,JM Flexicap Growth Direct Plan,ICICI Prudential Nifty Next 50 Index Growth Direct Plan,UTI Large & Mid Cap Growth Direct Plan,Nippon India Corporate Bond Growth Direct Plan,Aditya Birla Sun Life Regular Saving Growth Direct Plan,INF179KA1RZ8,Nippon India Index Nifty 50 Growth Direct Plan,HDFC ELSS Tax Saver Growth Direct Plan,Kotak Midcap Growth Direct Plan,Axis Short Duration Growth Direct Plan,Franklin India Aggressive Hybrid Growth Direct Plan,HDFC Mid Cap Growth Direct Plan,Canara Robeco Large Cap Growth Direct Plan,ICICI Prudential Large Cap Growth Direct Plan,Bandhan Large Cap Growth Direct Plan,PGIM India Corporate Bond Growth Direct Plan,Motilal Oswal Midcap Growth Direct Plan,ICICI Prudential Equity & Debt Growth Direct Plan,Edelweiss Small Cap Growth Direct Plan,HDFC Large & Mid Cap Growth Direct Plan,Edelweiss Mid Cap Growth Direct Plan,Bandhan ELSS Tax Saver Growth Direct Plan,Kotak Aggressive Hybrid Growth Direct Plan,HDFC Corporate Bond Growth Direct Plan,Kotak Corporate Bond Growth Direct Plan,HDFC Flexicap Growth Direct Plan,ICICI Prudential Short Term Growth Direct Plan,Motilal Oswal Flexi Cap Growth Direct Plan,Aditya Birla Sun Life Large Cap Growth Direct Plan,DSP ELSS Tax Saver Growth Direct Plan,Bandhan Focused Growth Direct Plan,Franklin India Small Cap Growth Direct Plan,Invesco India Midcap Growth Direct Plan
2023-12-15,136.2274,834.37,35.0027,56.86,28.9903,29.6826,318.278,69.5862,1187.058,113.791,214.3908,95.9813,100.6709,1434.3763,14.6177,1035.058,523.0703,30.2543,30.93,912.0791,85.6879,47.9315,143.0588,54.946,63.4531,114.596,38.5273,1155.572,112.878,29.494,249.3314,160.694,57.46,95.4,69.589,42.1824,80.4779,336.83,38.314,282.327,82.544,145.428,57.284,29.1173,3449.0592,1614.493,57.5353,47.8996,468.16,118.095,77.868,160.9327,140.19
2023-12-18,136.8879,833.41,35.0413,56.84,29.0121,29.7035,318.471,69.6142,1189.6762,113.953,215.3439,96.0435,100.7513,1434.1755,14.6307,1033.07,524.8633,30.3486,31.02,912.7513,85.5681,48.2472,143.0053,54.9937,63.4639,114.492,38.4585,1155.312,113.251,29.5134,249.6783,160.805,57.53,95.23,69.575,42.213,80.7291,336.41,38.356,282.717,82.614,145.382,57.364,29.1389,3452.034,1611.655,57.5717,48.1566,467.99,118.073,77.961,161.463,140.45
2023-12-19,136.9716,832.98,35.0884,56.88,29.012,29.6927,318.319,69.8439,1190.7144,113.988,214.5595,96.073,100.7414,1435.4177,14.6291,1036.614,525.4477,30.2306,30.95,913.5088,85.8407,48.3263,143.0795,55.0001,63.4892,115.161,38.5196,1155.215,113.076,29.5146,249.9735,160.326,57.55,95.3,69.812,42.2168,80.2607,336.86,38.372,282.584,82.379,145.425,57.423,29.1439,3452.1303,1615.012,57.5662,47.9364,468.12,118.076,77.669,160.9534,140.5
2023-12-20,133.6018,815.35,34.0695,56.13,29.0142,29.6935,313.591,,1162.5706,111.251,210.0724,94.677,100.748,1409.471,14.6322,1018.487,,29.3094,30.24,,83.7585,46.9033,140.1307,55.0143,63.2734,112.328,37.9753,1134.786,110.921,29.52,246.6042,155.863,56.6,93.73,68.815,42.2231,78.4532,332.14,37.539,276.134,80.083,142.58,56.623,29.1485,3452.1582,1587.331,57.572,46.9469,460.42,115.346,76.352,157.4296,137.18
2023-12-21,135.5012,821.28,34.4572,56.41,29.0141,29.6866,314.535,69.2775,1177.9123,112.623,211.5533,95.0639,100.7365,1418.5216,14.6334,1024.985,519.9129,29.7349,30.52,903.0546,84.7607,47.5263,141.2645,55.0169,63.3455,113.247,38.1634,1138.014,111.661,29.5169,247.9268,157.206,56.86,94.19,69.252,42.228,79.3487,333.36,37.944,278.427,80.766,143.317,56.763,29.1533,3451.9824,1594.534,57.5727,47.464,462.75,115.966,76.98,159.7319,137.85
2023-12-22,136.5879,826.53,34.8457,56.72,29.0232,29.7063,316.113,69.6049,1182.7077,113.318,213.4398,95.4699,100.7675,1426.2429,14.6372,1029.579,523.9845,29.9726,30.71,906.0632,85.4958,47.9161,142.2334,55.0302,63.3734,114.079,38.3326,1143.009,112.754,29.5308,249.3076,158.213,57.11,94.82,69.522,42.2316,80.6157,334.97,38.47,280.501,81.728,144.128,57.037,29.1607,3452.8473,1600.253,57.5943,48.0487,464.86,116.59,77.598,161.4831,139.83
2023-12-26,137.0521,831.02,34.9359,56.89,29.0478,29.7287,317.07,69.8354,1189.2102,113.691,213.6028,95.7763,100.8607,1435.0719,14.6516,1035.301,525.9661,30.1417,30.77,909.056,85.8022,48.3668,142.8504,55.0662,63.4375,114.111,38.4968,1152.069,113.278,29.5573,250.3031,159.199,57.33,95.3,69.763,42.2635,80.5872,336.66,38.535,281.99,82.171,144.8,57.234,29.1838,3455.5931,1613.592,57.6434,47.9044,466.55,117.377,77.811,161.8,140.04
2023-12-27,137.704,835.86,34.9096,57.19,29.0429,29.7139,318.092,70.0497,1196.7122,114.544,214.3549,96.3599,100.8508,1447.319,14.6472,1043.738,531.0528,30.2593,30.83,918.7744,86.2763,48.5925,143.9888,55.0603,63.6044,114.525,38.8795,1161.624,113.502,29.5544,251.6062,159.613,57.9,96.25,70.287,42.2609,80.8982,338.77,38.741,283.742,82.497,145.874,57.382,29.1852,3455.4512,1624.605,57.6474,48.1619,471.21,117.894,78.45,162.4834,140.83
2023-12-28,137.623,843.12,34.9186,57.36,29.0452,29.7257,319.564,70.3524,1205.5859,115.266,214.7309,96.9009,100.856,1456.2264,14.6467,1051.719,533.8816,30.403,30.85,923.0412,86.851,48.8518,144.8749,55.0572,63.671,114.761,39.1012,1170.872,113.88,29.5585,252.4339,160.646,58.14,96.83,70.598,42.261,80.3695,340.63,38.755,285.473,82.476,146.763,57.631,29.187,3455.6332,1635.647,57.6505,47.7873,473.54,119.06,78.83,162.4224,141.12
2023-12-29,138.5047,842.23,35.0687,57.35,29.0717,29.7543,321.038,70.2435,1207.9608,115.552,216.1122,96.9512,100.9591,1456.5011,14.6614,1049.399,535.8135,30.6599,30.98,923.9409,86.9595,49.2021,145.5035,55.101,63.7318,115.555,39.0161,1166.291,114.341,29.5831,252.7896,161.481,58.16,96.64,70.556,42.2945,80.7478,340.32,38.987,286.265,82.932,147.06,57.678,29.2075,3458.8776,1629.704,57.7002,47.94,473.95,119.316,79.125,162.9087,142.1
