file,isin,fund_name,amc,category,fund_category,years_of_prediction,rmse,rmse_percent,cagr,sip_cagr,annualized_volatility,risk_band
NipponIndiaNiftyAaaCPSEBondPlusSDLApr2027Maturity6040IndexGrowthDirectPlan_INF204KC1527.xlsx,INF204KC1527,Nippon India Nifty Aaa CPSE Bond Plus SDL Apr 2027 Maturity 60:40 Index Growth Direct Plan,NipponIndiaMutualFund_MF,Debt - Bonds,Index Funds - Fixed Income,2.73,0.2743,2.49,7.16,8.31,0.81,Low
PGIMIndiaCorporateBondGrowthDirectPlan_INF223J01OO2.xlsx,INF223J01OO2,PGIM India Corporate Bond Growth Direct Plan,PGIMINDIAMUTUALFUND_MF,Debt - Bonds,Corporate Bond Fund,8.77,3.6505,10.21,7.87,8.59,1.57,Low
NipponIndiaMoneyMarketWeeklyIDCWReinvestDirectPlan_INF204K01ZO6.xlsx,INF204K01ZO6,Nippon India Money Market Weekly IDCW Reinvest Direct Plan,NipponIndiaMutualFund_MF,Debt - Bonds,Money Market Fund,12.06,1.1617,0.12,0.24,0.4,0.97,Low
NipponIndiaMultiAssetActiveFoFIDCWPayoutDirectPlan_INF204KB17Y2.xlsx,INF204KB17Y2,Nippon India Multi Asset Active FoF IDCW Payout Direct Plan,NipponIndiaMutualFund_MF,Equity,Fund of Funds,3.87,1.5724,9.84,23.66,22.25,8.66,Low
NipponIndiaNiveshLakshyaIDCWPayoutDirectPlan_INF204KB1YR9.xlsx,INF204KB1YR9,Nippon India Nivesh Lakshya IDCW Payout Direct Plan,NipponIndiaMutualFund_MF,Debt - Bonds,Long Duration Fund,6.44,0.9994,6.88,9.75,9.09,4.69,Low
PGIMIndiaArbitrageRegularIDCWPayoutDirectPlan_INF223J019M6.xlsx,INF223J019M6,PGIM India Arbitrage Regular IDCW Payout Direct Plan,PGIMINDIAMUTUALFUND_MF,Equity,Arbitrage Fund,8.79,0.1899,1.58,1.38,0.41,4.87,Low
NipponIndiaMoneyMarketDailyIDCWReinvestDirectPlan_INF204K01ZN8.xlsx,INF204K01ZN8,Nippon India Money Market Daily IDCW Reinvest Direct Plan,NipponIndiaMutualFund_MF,Debt - Bonds,Money Market Fund,12.07,0.6814,0.07,0.22,0.36,0.29,Low
NipponIndiaStrategicDebtIDCWPayoutDirectPlan_INF204KA1QH7.xlsx,INF204KA1QH7,Nippon India Strategic Debt IDCW Payout Direct Plan,NipponIndiaMutualFund_MF,Debt - Bonds,Medium Duration Fund,10.45,0.6733,5.8,8.11,8.68,10.4,Low
NipponIndiaRetirementIncomeGenerationSchemeIDCWPayoutDirectPlan_INF204KA1C71.xlsx,INF204KA1C71,Nippon India Retirement Income Generation Scheme IDCW Payout Direct Plan,NipponIndiaMutualFund_MF,Debt - Bonds,Retirement Fund,9.84,2.3114,14.84,11.83,10.69,4.92,Low
NJBalancedAdvantageGrowthDirectPlan_INF0J8L01040.xlsx,INF0J8L01040,NJ Balanced Advantage Growth Direct Plan,NJMUTUALFUND_MF,Equity,Dynamic Asset Allocation or Balanced Advantage,3.13,0.8464,7.04,15.52,12.8,8.08,Low
NipponIndiaNiveshLakshyaHalfYearlyIDCWPayoutDirectPlan_INF204KB1YX7.xlsx,INF204KB1YX7,Nippon India Nivesh Lakshya Half Yearly IDCW Payout Direct Plan,NipponIndiaMutualFund_MF,Debt - Bonds,Long Duration Fund,6.44,0.2389,2.01,2.58,1.48,6.81,Low
NipponIndiaQuantBonusBonusGrowthDirectPlan_INF204K01J00.xlsx,INF204K01J00,Nippon India Quant Bonus Bonus Growth Direct Plan,NipponIndiaMutualFund_MF,Equity,Sectoral/Thematic,11.96,7.3238,21.68,26.54,22.51,16.2,Medium
NipponIndiaPowerInfraIDCWPayoutDirectPlan_INF204K01I76.xlsx,INF204K01I76,Nippon India Power & Infra IDCW Payout Direct Plan,NipponIndiaMutualFund_MF,Equity,Sectoral/Thematic,11.98,7.794,19.71,26.82,17.54,21.04,Medium
NipponIndiaTaiwanEquityGrowthDirectPlan_INF204KC1303.xlsx,INF204KC1303,Nippon India Taiwan Equity Growth Direct Plan,NipponIndiaMutualFund_MF,Equity,Fund of Funds,2.99,0.8979,9.28,24.48,28.19,32.09,High
NipponIndiaNiftyMidcap150IndexGrowthDirectPlan_INF204KB18Z7.xlsx,INF204KB18Z7,Nippon India Nifty Midcap 150 Index Growth Direct Plan,NipponIndiaMutualFund_MF,Equity,Index Funds,3.82,2.0147,11.5,29.49,24.86,17.28,Medium
NipponIndiaStrategicDebtQuarterlyIDCWPayoutDirectPlan_INF204KA1QI5.xlsx,INF204KA1QI5,Nippon India Strategic Debt Quarterly IDCW Payout Direct Plan,NipponIndiaMutualFund_MF,Debt - Bonds,Medium Duration Fund,10.45,0.5266,5.21,5.09,3.58,9.85,Low
NipponIndiaRetirementIncomeGenerationSchemeGrowthDirectPlan_INF204KA1C30.xlsx,INF204KA1C30,Nippon India Retirement Income Generation Scheme Growth Direct Plan,NipponIndiaMutualFund_MF,Debt - Bonds,Retirement Fund,9.84,2.3114,14.84,11.83,10.69,4.92,Low
NipponIndiaNiveshLakshyaQuarterlyIDCWPayoutDirectPlan_INF204KB1YV1.xlsx,INF204KB1YV1,Nippon India Nivesh Lakshya Quarterly IDCW Payout Direct Plan,NipponIndiaMutualFund_MF,Debt - Bonds,Long Duration Fund,6.44,0.1762,1.53,0.73,0.45,6.67,Low
PGIMIndiaAggressiveHybridEquityGrowthDirectPlan_INF663L01GX2.xlsx,INF663L01GX2,PGIM India Aggressive Hybrid Equity Growth Direct Plan,PGIMINDIAMUTUALFUND_MF,Equity,Aggressive Hybrid Fund,8.78,13.1943,13.9,17.64,15.43,12.1,Low
NipponIndiaNiveshLakshyaHalfYearlyIDCWReinvestDirectPlan_INF204KB1YY5.xlsx,INF204KB1YY5,Nippon India Nivesh Lakshya Half Yearly IDCW Reinvest Direct Plan,NipponIndiaMutualFund_MF,Debt - Bonds,Long Duration Fund,6.44,0.2389,2.01,2.58,1.48,6.81,Low
NipponIndiaUltraShortDurationQuarterlyIDCWPayoutDirectPlan_INF204K01YK7.xlsx,INF204K01YK7,Nippon India Ultra Short Duration Quarterly IDCW Payout Direct Plan,NipponIndiaMutualFund_MF,Debt - Bonds,Ultra Short Duration Fund,6.58,3.0252,0.3,-0.06,-0.56,4.25,Low
ParagParikhLiquidDailyIDCWReinvestDirectPlan_INF879O01118.xlsx,INF879O01118,Parag Parikh Liquid Daily IDCW Reinvest Direct Plan,PPFAS_MF,Debt - Bonds,Liquid Fund,6.71,0.1169,0.01,0.0,-0.0,0.03,Low
NipponIndiaOvernightQuarterlyIDCWPayoutDirectPlan_INF204KB1R80.xlsx,INF204KB1R80,Nippon India Overnight Quarterly IDCW Payout Direct Plan,NipponIndiaMutualFund_MF,Debt - Bonds,Overnight Fund,6.1,0.1064,0.11,0.01,-0.4,2.27,Low
NipponIndiaMultiAssetAllocationIDCWReinvestementReinvestDirectPlan_INF204KB11W9.xlsx,INF204KB11W9,Nippon India Multi Asset Allocation IDCW Reinvestement Reinvest Direct Plan,NipponIndiaMutualFund_MF,Equity,Multi Asset Allocation,4.31,1.7695,10.95,21.38,20.84,9.08,Low
NipponIndiaNiveshLakshyaQuarterlyIDCWReinvestDirectPlan_INF204KB1YW9.xlsx,INF204KB1YW9,Nippon India Nivesh Lakshya Quarterly IDCW Reinvest Direct Plan,NipponIndiaMutualFund_MF,Debt - Bonds,Long Duration Fund,6.44,0.1762,1.53,0.73,0.45,6.67,Low
NipponIndiaOvernightQuarterlyIDCWReinvestDirectPlan_INF204KB1R98.xlsx,INF204KB1R98,Nippon India Overnight Quarterly IDCW Reinvest Direct Plan,NipponIndiaMutualFund_MF,Debt - Bonds,Overnight Fund,6.1,0.1064,0.11,0.01,-0.4,2.27,Low
NipponIndiaNiveshLakshyaAnnualIDCWPayoutDirectPlan_INF204KB1YZ2.xlsx,INF204KB1YZ2,Nippon India Nivesh Lakshya Annual IDCW Payout Direct Plan,NipponIndiaMutualFund_MF,Debt - Bonds,Long Duration Fund,6.44,0.2446,2.06,2.09,-0.31,8.03,Low
NipponIndiaShortTermQuarterlyIDCWReinvestDirectPlan_INF204K01B73.xlsx,INF204K01B73,Nippon India Short Term Quarterly IDCW Reinvest Direct Plan,NipponIndiaMutualFund_MF,Debt - Bonds,Short Duration Fund,11.94,0.3013,2.04,0.79,0.34,4.16,Low
NipponIndiaUltraShortDurationWeeklyIDCWReinvestDirectPlan_INF204K01YG5.xlsx,INF204K01YG5,Nippon India Ultra Short Duration Weekly IDCW Reinvest Direct Plan,NipponIndiaMutualFund_MF,Debt - Bonds,Ultra Short Duration Fund,6.58,0.8067,0.07,0.02,0.03,2.69,Low
NipponIndiaPowerInfraBonusBonusGrowthDirectPlan_INF204K01I68.xlsx,INF204K01I68,Nippon India Power & Infra Bonus Bonus Growth Direct Plan,NipponIndiaMutualFund_MF,Equity,Sectoral/Thematic,11.98,31.6356,22.19,37.41,28.98,19.24,Medium
NipponIndiaOvernightMonthlyIDCWPayoutDirectPlan_INF204KB1R64.xlsx,INF204KB1R64,Nippon India Overnight Monthly IDCW Payout Direct Plan,NipponIndiaMutualFund_MF,Debt - Bonds,Overnight Fund,6.1,0.0377,0.04,-0.12,-0.06,1.29,Low
NipponIndiaStrategicDebtIDCWReinvestDirectPlan_INF204KA1QJ3.xlsx,INF204KA1QJ3,Nippon India Strategic Debt IDCW Reinvest Direct Plan,NipponIndiaMutualFund_MF,Debt - Bonds,Medium Duration Fund,10.45,0.6733,5.8,8.11,8.68,10.4,Low
ParagParikhFlexiCapGrowthDirectPlan_INF879O01027.xlsx,INF879O01027,Parag Parikh Flexi Cap Growth Direct Plan,PPFAS_MF,Equity,Flexi Cap Fund,11.57,7.6784,20.67,24.56,23.06,12.32,Low
PGIMIndiaArbitrageRegularIDCWReinvestDirectPlan_INF223J014N5.xlsx,INF223J014N5,PGIM India Arbitrage Regular IDCW Reinvest Direct Plan,PGIMINDIAMUTUALFUND_MF,Equity,Arbitrage Fund,8.79,0.1899,1.58,1.38,0.41,4.87,Low
NipponIndiaNiftySmallcap250IndexGrowthDirectPlan_INF204KB15W0.xlsx,INF204KB15W0,Nippon India Nifty Smallcap 250 Index Growth Direct Plan,NipponIndiaMutualFund_MF,Equity,Index Funds,4.17,2.9012,12.09,28.71,24.22,18.79,Medium
NipponIndiaLowDurationWeeklyIDCWPayoutDirectPlan_INF204K01A17.xlsx,INF204K01A17,Nippon India Low Duration Weekly IDCW Payout Direct Plan,NipponIndiaMutualFund_MF,Debt - Bonds,Low Duration Fund,11.96,2.4358,0.24,0.25,0.45,1.36,Low
NipponIndiaLowDurationQuarterlyIDCWReinvestDirectPlan_INF204K01A09.xlsx,INF204K01A09,Nippon India Low Duration Quarterly IDCW Reinvest Direct Plan,NipponIndiaMutualFund_MF,Debt - Bonds,Low Duration Fund,11.96,3.1486,0.31,0.22,-0.04,3.91,Low
NipponIndiaVisionBonusBonusGrowthDirectPlan_INF204K01E96.xlsx,INF204K01E96,Nippon India Vision Bonus Bonus Growth Direct Plan,NipponIndiaMutualFund_MF,Equity,Large & Mid Cap fund,11.98,24.4269,20.86,26.46,23.79,17.5,Medium
PGIMIndiaBalancedAdvantageIDCWPayoutDirectPlan_INF663L01V56.xlsx,INF663L01V56,PGIM India Balanced Advantage IDCW Payout Direct Plan,PGIMINDIAMUTUALFUND_MF,Equity,Dynamic Asset Allocation or Balanced Advantage,3.87,0.2872,2.49,5.76,3.13,11.96,Low
PGIMIndiaArbitrageMonthlyIDCWReinvestDirectPlan_INF223J016N0.xlsx,INF223J016N0,PGIM India Arbitrage Monthly IDCW Reinvest Direct Plan,PGIMINDIAMUTUALFUND_MF,Equity,Arbitrage Fund,8.79,0.1306,1.21,2.5,2.28,1.84,Low
NipponIndiaMoneyMarketMonthlyIDCWReinvestDirectPlan_INF204K01ZR9.xlsx,INF204K01ZR9,Nippon India Money Market Monthly IDCW Reinvest Direct Plan,NipponIndiaMutualFund_MF,Debt - Bonds,Money Market Fund,12.07,3.0355,0.3,0.15,0.24,2.01,Low
NipponIndiaUltraShortDurationQuarterlyIDCWReinvestDirectPlan_INF204K01YL5.xlsx,INF204K01YL5,Nippon India Ultra Short Duration Quarterly IDCW Reinvest Direct Plan,NipponIndiaMutualFund_MF,Debt - Bonds,Ultra Short Duration Fund,6.58,3.0252,0.3,-0.06,-0.56,4.25,Low
NipponIndiaNiveshLakshyaMonthlyIDCWReinvestDirectPlan_INF204KB1YU3.xlsx,INF204KB1YU3,Nippon India Nivesh Lakshya Monthly IDCW Reinvest Direct Plan,NipponIndiaMutualFund_MF,Debt - Bonds,Long Duration Fund,6.44,0.1658,1.43,0.79,-0.69,5.56,Low
ParagParikhConservativeHybridMonthlyIncomeDistributionCumCapitalWithdrawalIDCWPayoutDirectPlan_INF879O01159.xlsx,INF879O01159,Parag Parikh Conservative Hybrid Monthly Income Distribution Cum Capital Withdrawal IDCW Payout Direct Plan,PPFAS_MF,Debt - Bonds,Conservative Hybrid Fund,3.56,0.1945,1.86,3.76,4.04,4.24,Low
NipponIndiaUSEquityOpportunitesGrowthDirectPlan_INF204KA15G5.xlsx,INF204KA15G5,Nippon India US Equity Opportunites Growth Direct Plan,NipponIndiaMutualFund_MF,Equity,Fund of Funds,9.38,3.9676,18.63,18.28,19.06,19.49,Medium
NipponIndiaMoneyMarketBonusGrowthDirectPlan_INF204K01G11.xlsx,INF204K01G11,Nippon India Money Market Bonus Growth Direct Plan,NipponIndiaMutualFund_MF,Debt - Bonds,Money Market Fund,11.97,68.9122,4.14,7.63,7.98,0.41,Low
PGIMIndiaAggressiveHybridEquityMonthlyIDCWPayoutDirectPlan_INF663L01OA4.xlsx,INF663L01OA4,PGIM India Aggressive Hybrid Equity Monthly IDCW Payout Direct Plan,PGIMINDIAMUTUALFUND_MF,Equity,Aggressive Hybrid Fund,8.31,1.3897,5.94,8.09,5.72,12.61,Low
NipponIndiaQuantGrowthDirectPlan_INF204K01J34.xlsx,INF204K01J34,Nippon India Quant Growth Direct Plan,NipponIndiaMutualFund_MF,Equity,Sectoral/Thematic,11.98,7.3308,21.71,26.54,22.51,16.2,Medium
NipponIndiaNiftyNext50JuniorBeesFoFIDCWPayoutDirectPlan_INF204KB1X41.xlsx,INF204KB1X41,Nippon India Nifty Next 50 Junior Bees FoF IDCW Payout Direct Plan,NipponIndiaMutualFund_MF,Equity,Large Cap Fund,5.77,2.6719,16.25,23.07,20.36,18.06,Medium
NipponIndiaNiveshLakshyaMonthlyIDCWPayoutDirectPlan_INF204KB1YT5.xlsx,INF204KB1YT5,Nippon India Nivesh Lakshya Monthly IDCW Payout Direct Plan,NipponIndiaMutualFund_MF,Debt - Bonds,Long Duration Fund,6.44,0.1658,1.43,0.79,-0.69,5.56,Low
NipponIndiaNiftySmallcap250IndexIDCWReinvestementReinvestDirectPlan_INF204KB17W6.xlsx,INF204KB17W6,Nippon India Nifty Smallcap 250 Index IDCW Reinvestement Reinvest Direct Plan,NipponIndiaMutualFund_MF,Equity,Index Funds,4.17,2.9012,12.09,28.71,24.22,18.79,Medium
ParagParikhLiquidWeeklyIDCWReinvestDirectPlan_INF879O01134.xlsx,INF879O01134,Parag Parikh Liquid Weekly IDCW Reinvest Direct Plan,PPFAS_MF,Debt - Bonds,Liquid Fund,6.71,0.1086,0.01,-0.01,-0.02,0.64,Low
PGIMIndiaCorporateBondAnnualIDCWPayoutDirectPlan_INF223J01OM6.xlsx,INF223J01OM6,PGIM India Corporate Bond Annual IDCW Payout Direct Plan,PGIMINDIAMUTUALFUND_MF,Debt - Bonds,Corporate Bond Fund,8.77,1.2263,8.42,0.46,0.22,14.0,Low
NipponIndiaMultiAssetAllocationGrowthDirectPlan_INF204KB19V4.xlsx,INF204KB19V4,Nippon India Multi Asset Allocation Growth Direct Plan,NipponIndiaMutualFund_MF,Equity,Multi Asset Allocation,4.31,1.7695,10.95,21.38,20.84,9.08,Low
NipponIndiaMultiCapBonusBonusGrowthDirectPlan_INF204K01D55.xlsx,INF204K01D55,Nippon India Multi Cap Bonus Bonus Growth Direct Plan,NipponIndiaMutualFund_MF,Equity,Multi Cap Fund,11.98,28.4283,22.03,30.72,25.54,17.21,Medium
NipponIndiaUltraShortDurationDailyIDCWReinvestDirectPlan_INF204K01YF7.xlsx,INF204K01YF7,Nippon India Ultra Short Duration Daily IDCW Reinvest Direct Plan,NipponIndiaMutualFund_MF,Debt - Bonds,Ultra Short Duration Fund,6.58,0.6013,0.05,0.0,0.0,2.06,Low
NipponIndiaNiftyMidcap150IndexIDCWReinvestDirectPlan_INF204KC1014.xlsx,INF204KC1014,Nippon India Nifty Midcap 150 Index IDCW Reinvest Direct Plan,NipponIndiaMutualFund_MF,Equity,Index Funds,3.82,2.0147,11.5,29.49,24.86,17.28,Medium
ParagParikhConservativeHybridGrowthDirectPlan_INF879O01175.xlsx,INF879O01175,Parag Parikh Conservative Hybrid Growth Direct Plan,PPFAS_MF,Debt - Bonds,Conservative Hybrid Fund,3.56,0.8647,6.91,12.76,12.46,3.11,Low
NipponIndiaUSEquityOpportunitesIDCWReinvestDirectPlan_INF204KA17G1.xlsx,INF204KA17G1,Nippon India US Equity Opportunites IDCW Reinvest Direct Plan,NipponIndiaMutualFund_MF,Equity,Fund of Funds,9.38,3.9676,18.63,18.28,19.06,19.49,Medium
NipponIndiaNifty50Value20IndexGrowthDirectPlan_INF204KB12Z0.xlsx,INF204KB12Z0,Nippon India Nifty 50 Value 20 Index Growth Direct Plan,NipponIndiaMutualFund_MF,Equity,Index Funds,3.82,1.6343,10.63,18.68,13.95,14.53,Low
NipponIndiaStrategicDebtQuarterlyIDCWReinvestDirectPlan_INF204KA1QK1.xlsx,INF204KA1QK1,Nippon India Strategic Debt Quarterly IDCW Reinvest Direct Plan,NipponIndiaMutualFund_MF,Debt - Bonds,Medium Duration Fund,10.45,0.5266,5.21,5.09,3.58,9.85,Low
ParagParikhLiquidMonthlyIDCWPayoutDirectPlan_INF879O01084.xlsx,INF879O01084,Parag Parikh Liquid Monthly IDCW Payout Direct Plan,PPFAS_MF,Debt - Bonds,Liquid Fund,6.71,0.5025,0.05,0.06,0.27,1.39,Low
NipponIndiaPharmaGrowthDirectPlan_INF204K01I50.xlsx,INF204K01I50,Nippon India Pharma Growth Direct Plan,NipponIndiaMutualFund_MF,Equity,Sectoral/Thematic,11.98,54.9756,23.37,26.28,24.92,15.78,Medium
NipponIndiaNiftyAaaCPSEBondPlusSDLApr2027Maturity6040IndexIDCWPayoutDirectPlan_INF204KC1535.xlsx,INF204KC1535,Nippon India Nifty Aaa CPSE Bond Plus SDL Apr 2027 Maturity 60:40 Index IDCW Payout Direct Plan,NipponIndiaMutualFund_MF,Debt - Bonds,Index Funds - Fixed Income,2.73,0.151,1.4,6.2,7.92,1.88,Low
NipponIndiaSilverETFFoFIDCWPayoutDirectPlan_INF204KC1386.xlsx,INF204KC1386,Nippon India Silver ETF FoF IDCW Payout Direct Plan,NipponIndiaMutualFund_MF,Debt - Bonds,Fund of Funds,2.87,0.9142,7.37,20.84,24.15,22.01,Medium
NJBalancedAdvantageIDCWPayoutDirectPlan_INF0J8L01032.xlsx,INF0J8L01032,NJ Balanced Advantage IDCW Payout Direct Plan,NJMUTUALFUND_MF,Equity,Dynamic Asset Allocation or Balanced Advantage,3.13,0.8405,7.0,15.52,12.8,8.07,Low
NipponIndiaSmallCapIDCWPayoutDirectPlan_INF204K01J91.xlsx,INF204K01J91,Nippon India Small Cap IDCW Payout Direct Plan,NipponIndiaMutualFund_MF,Equity,Small Cap Fund,11.98,10.5268,23.16,21.17,14.27,18.76,Medium
NipponIndiaQuantIDCWPayoutDirectPlan_INF204K01J18.xlsx,INF204K01J18,Nippon India Quant IDCW Payout Direct Plan,NipponIndiaMutualFund_MF,Equity,Sectoral/Thematic,11.98,4.1947,20.9,26.54,22.51,18.24,Medium
NipponIndiaMultiCapIDCWReinvestDirectPlan_INF204K01XE2.xlsx,INF204K01XE2,Nippon India Multi Cap IDCW Reinvest Direct Plan,NipponIndiaMutualFund_MF,Equity,Multi Cap Fund,11.98,9.3549,19.79,21.99,15.92,18.69,Medium
NipponIndiaUltraShortDurationMonthlyIDCWReinvestDirectPlan_INF204K01YJ9.xlsx,INF204K01YJ9,Nippon India Ultra Short Duration Monthly IDCW Reinvest Direct Plan,NipponIndiaMutualFund_MF,Debt - Bonds,Ultra Short Duration Fund,6.58,3.4655,0.34,0.15,0.26,3.15,Low
NipponIndiaUSEquityOpportunitesIDCWPayoutDirectPlan_INF204KA16G3.xlsx,INF204KA16G3,Nippon India US Equity Opportunites IDCW Payout Direct Plan,NipponIndiaMutualFund_MF,Equity,Fund of Funds,9.38,3.9676,18.63,18.28,19.06,19.49,Medium
NipponIndiaNiftyNext50JuniorBeesFoFIDCWReinvestDirectPlan_INF204KB1X33.xlsx,INF204KB1X33,Nippon India Nifty Next 50 Junior Bees FoF IDCW Reinvest Direct Plan,NipponIndiaMutualFund_MF,Equity,Large Cap Fund,5.77,2.6719,16.25,23.07,20.36,18.06,Medium
NipponIndiaVisionIDCWReinvestDirectPlan_INF204K01F12.xlsx,INF204K01F12,Nippon India Vision IDCW Reinvest Direct Plan,NipponIndiaMutualFund_MF,Equity,Large & Mid Cap fund,11.98,7.4238,15.58,18.04,14.04,19.55,Medium
NipponIndiaNiftyMidcap150IndexIDCWPayoutDirectPlan_INF204KB19Z5.xlsx,INF204KB19Z5,Nippon India Nifty Midcap 150 Index IDCW Payout Direct Plan,NipponIndiaMutualFund_MF,Equity,Index Funds,3.82,2.0147,11.5,29.49,24.86,17.28,Medium
PGIMIndiaAggressiveHybridEquityIDCWReinvestDirectPlan_INF663L01GZ7.xlsx,INF663L01GZ7,PGIM India Aggressive Hybrid Equity IDCW Reinvest Direct Plan,PGIMINDIAMUTUALFUND_MF,Equity,Aggressive Hybrid Fund,8.78,1.653,7.03,7.51,4.06,13.62,Low
NipponIndiaRetirementWealthCreationSchemeGrowthDirectPlan_INF204KA1B72.xlsx,INF204KA1B72,Nippon India Retirement Wealth Creation Scheme Growth Direct Plan,NipponIndiaMutualFund_MF,Equity,Retirement Fund,9.86,3.1145,18.09,23.64,19.85,16.92,Medium
NipponIndiaSmallCapIDCWReinvestDirectPlan_INF204K01K07.xlsx,INF204K01K07,Nippon India Small Cap IDCW Reinvest Direct Plan,NipponIndiaMutualFund_MF,Equity,Small Cap Fund,11.98,10.5268,23.16,21.17,14.27,18.76,Medium
NipponIndiaPharmaBonusBonusGrowthDirectPlan_INF204K01I27.xlsx,INF204K01I27,Nippon India Pharma Bonus Bonus Growth Direct Plan,NipponIndiaMutualFund_MF,Equity,Sectoral/Thematic,11.98,54.9101,23.34,26.28,24.92,15.78,Medium
NipponIndiaShortTermIDCWReinvestDirectPlan_INF204KA1ET8.xlsx,INF204KA1ET8,Nippon India Short Term IDCW Reinvest Direct Plan,NipponIndiaMutualFund_MF,Debt - Bonds,Short Duration Fund,11.08,1.8126,11.38,8.33,8.94,2.55,Low
NipponIndiaLowDurationMonthlyIDCWReinvestDirectPlan_INF204K01ZY5.xlsx,INF204K01ZY5,Nippon India Low Duration Monthly IDCW Reinvest Direct Plan,NipponIndiaMutualFund_MF,Debt - Bonds,Low Duration Fund,11.96,6.0799,0.6,0.3,0.26,2.41,Low
NipponIndiaOvernightDailyIDCWReinvestDirectPlan_INF204KB1R49.xlsx,INF204KB1R49,Nippon India Overnight Daily IDCW Reinvest Direct Plan,NipponIndiaMutualFund_MF,Debt - Bonds,Overnight Fund,6.1,0.0001,0.0,0.0,-0.0,0.13,Low
NipponIndiaMultiCapGrowthDirectPlan_INF204K01XF9.xlsx,INF204K01XF9,Nippon India Multi Cap Growth Direct Plan,NipponIndiaMutualFund_MF,Equity,Multi Cap Fund,11.98,28.4283,22.03,30.72,25.54,17.21,Medium
NipponIndiaValueIDCWReinvestDirectPlan_INF204K01K31.xlsx,INF204K01K31,Nippon India Value IDCW Reinvest Direct Plan,NipponIndiaMutualFund_MF,Equity,Value Fund,11.98,7.4915,19.9,20.72,16.01,18.7,Medium
NipponIndiaStrategicDebtBonusGrowthDirectPlan_INF204KA1QG9.xlsx,INF204KA1QG9,Nippon India Strategic Debt Bonus Growth Direct Plan,NipponIndiaMutualFund_MF,Debt - Bonds,Medium Duration Fund,10.45,0.9768,7.22,8.11,8.68,9.39,Low
NipponIndiaMultiAssetActiveFoFIDCWReinvestDirectPlan_INF204KB18Y0.xlsx,INF204KB18Y0,Nippon India Multi Asset Active FoF IDCW Reinvest Direct Plan,NipponIndiaMutualFund_MF,Equity,Fund of Funds,3.87,1.5724,9.84,23.66,22.25,8.66,Low
NipponIndiaNifty50Value20IndexIDCWPayoutDirectPlan_INF204KB13Z8.xlsx,INF204KB13Z8,Nippon India Nifty 50 Value 20 Index IDCW Payout Direct Plan,NipponIndiaMutualFund_MF,Equity,Index Funds,3.82,1.6343,10.63,18.68,13.95,14.53,Low
NipponIndiaOvernightWeeklyIDCWReinvestDirectPlan_INF204KB1R56.xlsx,INF204KB1R56,Nippon India Overnight Weekly IDCW Reinvest Direct Plan,NipponIndiaMutualFund_MF,Debt - Bonds,Overnight Fund,6.1,0.0104,0.01,0.02,0.02,0.59,Low
NipponIndiaOvernightGrowthDirectPlan_INF204KB1R31.xlsx,INF204KB1R31,Nippon India Overnight Growth Direct Plan,NipponIndiaMutualFund_MF,Debt - Bonds,Overnight Fund,6.1,0.6909,0.58,6.46,6.54,0.08,Low
NipponIndiaPharmaIDCWReinvestDirectPlan_INF204K01I43.xlsx,INF204K01I43,Nippon India Pharma IDCW Reinvest Direct Plan,NipponIndiaMutualFund_MF,Equity,Sectoral/Thematic,11.98,18.5759,20.18,20.31,16.68,17.46,Medium
NipponIndiaTaiwanEquityIDCWPayoutDirectPlan_INF204KC1311.xlsx,INF204KC1311,Nippon India Taiwan Equity IDCW Payout Direct Plan,NipponIndiaMutualFund_MF,Equity,Fund of Funds,2.99,0.8979,9.28,24.48,28.19,32.09,High
NipponIndiaLowDurationQuarterlyIDCWPayoutDirectPlan_INF204K01ZZ2.xlsx,INF204K01ZZ2,Nippon India Low Duration Quarterly IDCW Payout Direct Plan,NipponIndiaMutualFund_MF,Debt - Bonds,Low Duration Fund,11.96,3.1486,0.31,0.22,-0.04,3.91,Low
NipponIndiaMoneyMarketQuarterlyIDCWPayoutDirectPlan_INF204K01ZS7.xlsx,INF204K01ZS7,Nippon India Money Market Quarterly IDCW Payout Direct Plan,NipponIndiaMutualFund_MF,Debt - Bonds,Money Market Fund,11.12,2.4155,0.24,0.1,-0.27,3.41,Low
NipponIndiaSilverETFFoFIDCWReinvestDirectPlan_INF204KC1394.xlsx,INF204KC1394,Nippon India Silver ETF FoF IDCW Reinvest Direct Plan,NipponIndiaMutualFund_MF,Debt - Bonds,Fund of Funds,2.87,0.9142,7.37,20.84,24.15,22.01,Medium
NipponIndiaValueIDCWPayoutDirectPlan_INF204K01K23.xlsx,INF204K01K23,Nippon India Value IDCW Payout Direct Plan,NipponIndiaMutualFund_MF,Equity,Value Fund,11.98,7.4915,19.9,20.72,16.01,18.7,Medium
NJOvernightGrowthDirectPlan_INF0J8L01081.xlsx,INF0J8L01081,NJ Overnight Growth Direct Plan,NJMUTUALFUND_MF,Debt - Bonds,Overnight Fund,2.49,4.7426,0.43,5.39,6.44,0.11,Low
NipponIndiaRetirementWealthCreationSchemeIDCWPayoutDirectPlan_INF204KA1C14.xlsx,INF204KA1C14,Nippon India Retirement Wealth Creation Scheme IDCW Payout Direct Plan,NipponIndiaMutualFund_MF,Equity,Retirement Fund,9.86,2.5362,16.3,15.33,10.24,17.68,Medium
