file,isin,fund_name,amc,category,fund_category,years_of_prediction,rmse,rmse_percent,cagr,sip_cagr,annualized_volatility,risk_band
PGIMIndiaDynamicBondGrowthDirectPlan_INF663L01AD7.xlsx,INF663L01AD7,PGIM India Dynamic Bond Growth Direct Plan,PGIMINDIAMUTUALFUND_MF,Debt - Bonds,Dynamic Bond,11.96,332.1051,16.98,8.5,9.12,2.83,Low
QuantumValueIDCWReinvestDirectPlan_INF082J01051.xlsx,INF082J01051,Quantum Value IDCW Reinvest Direct Plan,QUANTUMMUTUALFUND_MF,Equity,Value Fund,18.74,11.4863,24.54,22.46,19.75,17.24,Medium
SBIBankingFinancialServicesIDCWPayoutDirectPlan_INF200KA1523.xlsx,INF200KA1523,SBI Banking & Financial Services IDCW Payout Direct Plan,SBIMutualFund_MF,Equity,Sectoral/Thematic,9.81,4.0762,19.74,26.15,25.15,20.3,Medium
QuantumLiquidMonthlyIDCWReinvestDirectPlan_INF082J01200.xlsx,INF082J01200,Quantum Liquid Monthly IDCW Reinvest Direct Plan,QUANTUMMUTUALFUND_MF,Debt - Bonds,Liquid Fund,18.81,0.0072,0.07,-0.13,-0.06,1.69,Low
PGIMIndiaMoneyMarketMonthlyIDCWPayoutDirectPlan_INF663L01T92.xlsx,INF663L01T92,PGIM India Money Market Monthly IDCW Payout Direct Plan,PGIMINDIAMUTUALFUND_MF,Debt - Bonds,Money Market Fund,4.78,6.7799,0.66,2.14,2.0,1.39,Low
SBIBankingPSUDailyIDCWReinvestDirectPlan_INF200K01V16.xlsx,INF200K01V16,SBI Banking & PSU Daily IDCW Reinvest Direct Plan,SBIMutualFund_MF,Debt - Bonds,Banking and PSU Fund,11.08,43.5712,3.91,7.82,8.49,1.4,Low
PGIMIndiaUltraShortDurationGrowthDirectPlan_INF223J01QO7.xlsx,INF223J01QO7,PGIM India Ultra Short Duration Growth Direct Plan,PGIMINDIAMUTUALFUND_MF,Debt - Bonds,Ultra Short Duration Fund,8.77,1.0917,4.07,7.25,7.52,18.46,Medium
SBIBalancedAdvantageGrowthDirectPlan_INF200KA1Y73.xlsx,INF200KA1Y73,SBI Balanced Advantage Growth Direct Plan,SBIMutualFund_MF,Equity,Dynamic Asset Allocation or Balanced Advantage,3.29,1.0478,8.13,17.15,15.77,6.11,Low
QuantInfrastructureIDCWPayoutDirectPlan_INF966L01705.xlsx,INF966L01705,Quant Infrastructure IDCW Payout Direct Plan,QUANTMUTUALFUND_MF,Equity,Sectoral/Thematic,11.98,3.9991,25.99,27.56,20.78,20.4,Medium
PGIMIndiaOvernightDailyIDCWReinvestDirectPlan_INF663L01T35.xlsx,INF663L01T35,PGIM India Overnight Daily IDCW Reinvest Direct Plan,PGIMINDIAMUTUALFUND_MF,Debt - Bonds,Overnight Fund,5.48,0.0023,0.0,0.0,-0.0,0.02,Low
